# BANNER FILE NOT PROVIDED (-b option)
# BULK_EXTRACTOR-Version: 2.0.3
# Feature-Recorder: tcp
# Filename: otw_pt2.pcapng
# Histogram-File-Version: 1.1
n=1402	20.10.16.51 443 -> 192.168.125.132 58170 (TCP)
n=1285	192.168.125.132 52552 -> 35.186.194.58 443 (UDP)
n=949	142.250.179.164 443 -> 192.168.125.132 36272 (UDP)
n=396	18.239.36.79 443 -> 192.168.125.132 59686 (TCP)
n=364	192.168.125.132 59686 -> 18.239.36.79 443 (TCP)
n=362	192.168.125.132 36272 -> 142.250.179.164 443 (UDP)
n=337	104.110.191.48 443 -> 192.168.125.132 49972 (TCP)
n=316	35.186.194.58 443 -> 192.168.125.132 52552 (UDP)
n=307	192.168.125.132 49972 -> 104.110.191.48 443 (TCP)
n=280	192.168.125.132 58170 -> 20.10.16.51 443 (TCP)
n=202	20.10.16.51 443 -> 192.168.125.132 58226 (TCP)
n=181	76.76.21.241 443 -> 192.168.125.132 60918 (TCP)
n=180	192.168.125.132 60918 -> 76.76.21.241 443 (TCP)
n=130	172.66.40.240 443 -> 192.168.125.132 36460 (UDP)
n=122	185.15.59.240 443 -> 192.168.125.132 56116 (TCP)
n=115	18.239.69.74 443 -> 192.168.125.132 59394 (TCP)
n=98	185.15.59.224 443 -> 192.168.125.132 43426 (TCP)
n=92	192.168.125.132 56116 -> 185.15.59.240 443 (TCP)
n=90	192.168.125.132 43426 -> 185.15.59.224 443 (TCP)
n=83	104.110.191.34 443 -> 192.168.125.132 38822 (TCP)
n=75	142.251.36.40 443 -> 192.168.125.132 35622 (UDP)
n=74	192.168.125.132 58226 -> 20.10.16.51 443 (TCP)
n=72	192.168.125.132 38822 -> 104.110.191.34 443 (TCP)
n=66	142.251.36.8 443 -> 192.168.125.132 32866 (TCP)
n=64	35.201.112.186 443 -> 192.168.125.132 49772 (TCP)
n=63	192.168.125.132 59394 -> 18.239.69.74 443 (TCP)
n=61	104.80.228.132 443 -> 192.168.125.132 49664 (TCP)
n=56	192.168.125.132 32866 -> 142.251.36.8 443 (TCP)
n=51	192.168.125.132 25 -> 192.168.125.1 59770 (TCP)
n=48	104.110.191.49 443 -> 192.168.125.132 40892 (TCP)
n=48	192.168.125.132 36460 -> 172.66.40.240 443 (UDP)
n=48	192.168.125.132 40892 -> 104.110.191.49 443 (TCP)
n=44	192.168.125.132 49772 -> 35.201.112.186 443 (TCP)
n=44	192.168.125.132 52841 -> 172.66.40.240 443 (UDP)
n=43	157.240.247.8 443 -> 192.168.125.132 44980 (TCP)
n=43	157.240.247.8 443 -> 192.168.125.132 45032 (TCP)
n=43	52.5.50.149 443 -> 192.168.125.132 49704 (TCP)
n=42	192.168.125.132 45688 -> 172.66.40.240 443 (TCP)
n=40	172.66.40.240 443 -> 192.168.125.132 45688 (TCP)
n=40	172.66.40.240 443 -> 192.168.125.132 55610 (UDP)
n=39	18.65.39.5 443 -> 192.168.125.132 51876 (TCP)
n=39	192.168.125.132 49664 -> 104.80.228.132 443 (TCP)
n=38	151.101.0.114 443 -> 192.168.125.132 48910 (TCP)
n=38	157.240.247.8 443 -> 192.168.125.132 59218 (UDP)
n=38	52.5.50.149 443 -> 192.168.125.132 49702 (TCP)
n=36	172.66.40.240 443 -> 192.168.125.132 52841 (UDP)
n=36	192.168.125.132 44980 -> 157.240.247.8 443 (TCP)
n=36	192.168.125.132 55610 -> 172.66.40.240 443 (UDP)
n=35	34.249.200.254 443 -> 192.168.125.132 36246 (TCP)
n=34	192.168.125.132 36246 -> 34.249.200.254 443 (TCP)
n=33	192.168.125.132 49704 -> 52.5.50.149 443 (TCP)
n=32	104.80.228.192 443 -> 192.168.125.132 59744 (TCP)
n=32	192.168.125.132 49702 -> 52.5.50.149 443 (TCP)
n=32	192.168.125.132 51876 -> 18.65.39.5 443 (TCP)
n=31	192.168.125.132 41016 -> 104.110.191.49 443 (TCP)
n=31	192.168.125.132 45032 -> 157.240.247.8 443 (TCP)
n=31	192.168.125.132 48910 -> 151.101.0.114 443 (TCP)
n=31	192.168.125.132 49258 -> 204.79.197.200 443 (TCP)
n=31	192.168.125.132 56734 -> 13.107.246.67 443 (TCP)
n=31	204.79.197.200 443 -> 192.168.125.132 49258 (TCP)
n=30	13.107.246.67 443 -> 192.168.125.132 56734 (TCP)
n=30	18.239.18.54 443 -> 192.168.125.132 59712 (UDP)
n=30	192.168.125.132 59744 -> 104.80.228.192 443 (TCP)
n=29	52.5.50.149 443 -> 192.168.125.132 49726 (TCP)
n=28	104.110.191.49 443 -> 192.168.125.132 41016 (TCP)
n=28	35.186.194.58 443 -> 192.168.125.132 44128 (TCP)
n=27	52.5.50.149 443 -> 192.168.125.132 49724 (TCP)
n=26	104.110.191.48 443 -> 192.168.125.132 49842 (TCP)
n=26	104.80.228.192 443 -> 192.168.125.132 59689 (UDP)
n=26	142.250.179.164 443 -> 192.168.125.132 48198 (UDP)
n=26	192.168.125.132 49842 -> 104.110.191.48 443 (TCP)
n=25	172.66.40.240 443 -> 192.168.125.132 45732 (TCP)
n=25	172.66.40.240 443 -> 192.168.125.132 55202 (UDP)
n=25	192.168.125.132 34616 -> 142.251.36.14 443 (TCP)
n=25	192.168.125.132 45702 -> 172.66.40.240 443 (TCP)
n=25	192.168.125.132 49724 -> 52.5.50.149 443 (TCP)
n=25	192.168.125.132 49726 -> 52.5.50.149 443 (TCP)
n=25	192.168.125.132 54734 -> 216.239.36.54 443 (TCP)
n=25	216.239.36.54 443 -> 192.168.125.132 54734 (TCP)
n=24	104.110.191.155 443 -> 192.168.125.132 38948 (TCP)
n=24	142.251.36.14 443 -> 192.168.125.132 34616 (TCP)
n=24	172.66.40.240 443 -> 192.168.125.132 45702 (TCP)
n=24	172.66.40.240 443 -> 192.168.125.132 45740 (TCP)
n=24	18.65.40.63 443 -> 192.168.125.132 59634 (TCP)
n=24	192.168.125.132 38948 -> 104.110.191.155 443 (TCP)
n=24	192.168.125.132 45740 -> 172.66.40.240 443 (TCP)
n=24	192.168.125.132 59634 -> 18.65.40.63 443 (TCP)
n=23	192.168.125.132 45732 -> 172.66.40.240 443 (TCP)
n=23	192.168.125.132 45744 -> 172.66.40.240 443 (TCP)
n=22	172.66.40.240 443 -> 192.168.125.132 45744 (TCP)
n=22	192.168.125.132 33116 -> 13.107.42.14 443 (TCP)
n=22	192.168.125.132 34750 -> 142.251.36.14 443 (TCP)
n=22	192.168.125.132 36752 -> 151.101.37.229 443 (TCP)
n=22	192.168.125.132 44128 -> 35.186.194.58 443 (TCP)
n=22	192.168.125.132 49728 -> 52.5.50.149 443 (TCP)
n=21	13.107.42.14 443 -> 192.168.125.132 33116 (TCP)
n=21	142.251.36.14 443 -> 192.168.125.132 34750 (TCP)
n=21	151.101.37.229 443 -> 192.168.125.132 36752 (TCP)
n=21	192.168.125.132 33432 -> 35.244.142.80 443 (TCP)
n=21	192.168.125.132 34542 -> 18.222.86.194 443 (TCP)
n=21	192.168.125.132 51322 -> 172.217.168.194 443 (TCP)
n=21	192.168.125.132 59218 -> 157.240.247.8 443 (UDP)
n=21	52.5.50.149 443 -> 192.168.125.132 49728 (TCP)
n=20	172.217.168.194 443 -> 192.168.125.132 51322 (TCP)
n=20	18.222.86.194 443 -> 192.168.125.132 34542 (TCP)
n=20	192.168.125.132 25 -> 192.168.125.1 59806 (TCP)
n=20	192.168.125.132 43998 -> 52.35.106.93 443 (TCP)
n=20	192.168.125.132 49686 -> 52.5.50.149 443 (TCP)
n=20	192.168.125.132 53322 -> 216.239.32.36 443 (TCP)
n=20	192.168.125.132 55856 -> 51.11.20.152 443 (TCP)
n=20	35.244.142.80 443 -> 192.168.125.132 33432 (TCP)
n=19	192.168.125.132 41590 -> 13.107.213.67 443 (TCP)
n=19	192.168.125.132 49024 -> 216.239.34.36 443 (TCP)
n=19	192.168.125.132 50276 -> 199.232.149.140 443 (TCP)
n=19	192.168.125.132 51398 -> 172.217.168.194 443 (TCP)
n=19	192.168.125.132 54500 -> 3.215.204.133 443 (TCP)
n=19	20.10.16.51 443 -> 192.168.125.132 58222 (TCP)
n=19	216.239.32.36 443 -> 192.168.125.132 53322 (TCP)
n=19	52.35.106.93 443 -> 192.168.125.132 43998 (TCP)
n=18	13.107.213.67 443 -> 192.168.125.132 41590 (TCP)
n=18	172.217.168.194 443 -> 192.168.125.132 51398 (TCP)
n=18	192.168.125.132 36444 -> 44.217.105.24 443 (TCP)
n=18	192.168.125.132 42312 -> 142.250.102.157 443 (TCP)
