# BANNER FILE NOT PROVIDED (-b option)
# BULK_EXTRACTOR-Version: 2.0.3
# Feature-Recorder: domain
# Filename: otw_pt2.pcapng
# Feature-File-Version: 1.1
9445511-BASE64-657	www.iec.ch	\000\000\000\000\026IEC http://www.iec.ch\000\000\000\000\000\000\000\000\000\000\000\026IEC 
9445511-BASE64-690	www.iec.ch	\000\000\000\000\026IEC http://www.iec.ch\000\000\000\000\000\000\000\000\000\000\000\000\000\000\000\000
392523	example.com	FROM:<0xM4hm0ud@example.com>\015\012\000\000\000|\000\000\000\006\000\000\000X\000
392829	example.com	t TO:<CryptoCat@example.com>\015\012\000x\000\000\000\006\000\000\000X\000\000\000
393541	example.com	ient <CryptoCat@example.com>\015\012From: Author 
393579	example.com	thor <0xM4hm0ud@example.com>\015\012\015\012'\015\012Hi Crypt
1650315	example.com	FROM:<CryptoCat@example.com>\015\012\000\000\000|\000\000\000\006\000\000\000X\000
1650621	example.com	t TO:<0xM4hm0ud@example.com>\015\012\000x\000\000\000\006\000\000\000X\000\000\000
1651333	example.com	ient <0xM4hm0ud@example.com>\015\012From: Author 
1651371	example.com	thor <CryptoCat@example.com>\015\012\015\012'\015\012Hey 0xM4
1789215	www.digicert.com	\006\001\005\005\007\002\001\026\033http://www.digicert.com/CPS0\016\006\003U\035\017\001\001\377\004\004
1789311	crl3.digicert.com	\2240H\240F\240D\206Bhttp://crl3.digicert.com/DigiCertGlobalG
1789385	crl4.digicert.com	l0H\240F\240D\206Bhttp://crl4.digicert.com/DigiCertGlobalG
1789482	ocsp.digicert.com0Q	\006\001\005\005\0070\001\206\030http://ocsp.digicert.com0Q\006\010+\006\001\005\005\0070\002\206Ehttp
1789520	cacerts.digicert.com	\006\001\005\005\0070\002\206Ehttp://cacerts.digicert.com/DigiCertGlobalG
1791000	ocsp.digicert.com	\006\001\005\005\0070\001\206\030http://ocsp.digicert.com0@\006\010+\006\001\005\005\0070\002\2064ht
1791038	cacerts.digicert.com	\006\001\005\005\0070\002\2064http://cacerts.digicert.com/DigiCertGlobalR
1791109	crl3.digicert.com	907\2405\2403\2061http://crl3.digicert.com/DigiCertGlobalR
2315107	www.digicert.com	\006\001\005\005\007\002\001\026\033http://www.digicert.com/CPS0\016\006\003U\035\017\001\001\377\004\004
2315203	crl3.digicert.com	\2240H\240F\240D\206Bhttp://crl3.digicert.com/DigiCertGlobalG
2315277	crl4.digicert.com	l0H\240F\240D\206Bhttp://crl4.digicert.com/DigiCertGlobalG
2315374	ocsp.digicert.com0Q	\006\001\005\005\0070\001\206\030http://ocsp.digicert.com0Q\006\010+\006\001\005\005\0070\002\206Ehttp
2315412	cacerts.digicert.com	\006\001\005\005\0070\002\206Ehttp://cacerts.digicert.com/DigiCertGlobalG
2316892	ocsp.digicert.com	\006\001\005\005\0070\001\206\030http://ocsp.digicert.com0@\006\010+\006\001\005\005\0070\002\2064ht
2316930	cacerts.digicert.com	\006\001\005\005\0070\002\2064http://cacerts.digicert.com/DigiCertGlobalR
2317001	crl3.digicert.com	907\2405\2403\2061http://crl3.digicert.com/DigiCertGlobalR
4041148	crl.r2m01.amazontrust.com	200\240.\240,\206*http://crl.r2m01.amazontrust.com/r2m01.crl0\023\006\003U\035
4041241	ocsp.r2m01.amazontrust.com	\006\001\005\005\0070\001\206!http://ocsp.r2m01.amazontrust.com06\006\010+\006\001\005\005\0070\002\206*ht
4041288	crt.r2m01.amazontrust.com	\006\001\005\005\0070\002\206*http://crt.r2m01.amazontrust.com/r2m01.cer0\014\006\003U\035
4042674	ocsp.rootca1.amazontrust.com	\006\001\005\005\0070\001\206#http://ocsp.rootca1.amazontrust.com0:\006\010+\006\001\005\005\0070\002\206.ht
4042723	crt.rootca1.amazontrust.com	\006\001\005\005\0070\002\206.http://crt.rootca1.amazontrust.com/rootca1.cer0?\006\003
4042788	crl.rootca1.amazontrust.com	604\2402\2400\206.http://crl.rootca1.amazontrust.com/rootca1.crl0\023\006\003
4043858	ocsp.rootg2.amazontrust.com	\006\001\005\005\0070\001\206"http://ocsp.rootg2.amazontrust.com08\006\010+\006\001\005\005\0070\002\206,ht
4043906	crt.rootg2.amazontrust.com	\006\001\005\005\0070\002\206,http://crt.rootg2.amazontrust.com/rootg2.cer0=\006\003U
4043969	crl.rootg2.amazontrust.com	402\2400\240.\206,http://crl.rootg2.amazontrust.com/rootg2.crl0\021\006\003U
4045246	o.ss2.us	\006\001\005\005\0070\001\206\020http://o.ss2.us/0!\006\010+\006\001\005\005\0070\002\206\025h
4045276	x.ss2.us	\006\001\005\005\0070\002\206\025http://x.ss2.us/x.cer0&\006\003U\035\037\004\0370
4045316	s.ss2.us	\0350\033\240\031\240\027\206\025http://s.ss2.us/r.crl0\021\006\003U\035 \004\0120
4553572	crl.r2m01.amazontrust.com	200\240.\240,\206*http://crl.r2m01.amazontrust.com/r2m01.crl0\023\006\003U\035
4553665	ocsp.r2m01.amazontrust.com	\006\001\005\005\0070\001\206!http://ocsp.r2m01.amazontrust.com06\006\010+\006\001\005\005\0070\002\206*ht
4553712	crt.r2m01.amazontrust.com	\006\001\005\005\0070\002\206*http://crt.r2m01.amazontrust.com/r2m01.cer0\014\006\003U\035
4555186	ocsp.rootca1.amazontrust.com	\006\001\005\005\0070\001\206#http://ocsp.rootca1.amazontrust.com0:\006\010+\006\001\005\005\0070\002\206.ht
4555235	crt.rootca1.amazontrust.com	\006\001\005\005\0070\002\206.http://crt.rootca1.amazontrust.com/rootca1.cer0?\006\003
4555300	crl.rootca1.amazontrust.com	604\2402\2400\206.http://crl.rootca1.amazontrust.com/rootca1.crl0\023\006\003
4556634	ocsp.rootg2.amazontrust.com	\006\001\005\005\0070\001\206"http://ocsp.rootg2.amazontrust.com08\006\010+\006\001\005\005\0070\002\206,ht
4556682	crt.rootg2.amazontrust.com	\006\001\005\005\0070\002\206,http://crt.rootg2.amazontrust.com/rootg2.cer0=\006\003U
4556745	crl.rootg2.amazontrust.com	402\2400\240.\206,http://crl.rootg2.amazontrust.com/rootg2.crl0\021\006\003U
4558022	o.ss2.us	\006\001\005\005\0070\001\206\020http://o.ss2.us/0!\006\010+\006\001\005\005\0070\002\206\025h
4558052	x.ss2.us	\006\001\005\005\0070\002\206\025http://x.ss2.us/x.cer0&\006\003U\035\037\004\0370
4558092	s.ss2.us	\0350\033\240\031\240\027\206\025http://s.ss2.us/r.crl0\021\006\003U\035 \004\0120
4559660	crl.r2m01.amazontrust.com	200\240.\240,\206*http://crl.r2m01.amazontrust.com/r2m01.crl0\023\006\003U\035
4559753	ocsp.r2m01.amazontrust.com	\006\001\005\005\0070\001\206!http://ocsp.r2m01.amazontrust.com06\006\010+\006\001\005\005\0070\002\206*ht
